,COMPOUND,YEAR,stateFIPS,COUNTY_CODE,LOW_ESTIMATE,HIGH_ESTIMATE,county,STATE,incidence_rate_per_100k,avg_annual_count,recent_trend,five_year_incidence_change_rate,incidence_rate_per_100k_low_95,incidence_rate_per_100k_high_95,five_year_incidence_change_rate_low_95,five_year_incidence_change_rate_high_95
0,Glyphosate,2014,1,1,11146.6,11219.2,Autauga County,AL,495.6 ,304,stable,-0.2 ,470.6,521.5,-9.0,9.6
1,Glyphosate,2015,1,1,5825.3,6211.0,Autauga County,AL,495.6 ,304,stable,-0.2 ,470.6,521.5,-9.0,9.6
2,Glyphosate,2014,1,3,115957.7,116239.7,Baldwin County,AL,445.0 ,"1,189",stable,-2.0 ,433.4,456.8,-4.5,0.5
3,Glyphosate,2015,1,3,66730.6,68745.9,Baldwin County,AL,445.0 ,"1,189",stable,-2.0 ,433.4,456.8,-4.5,0.5
4,Glyphosate,2014,1,5,7994.1,7995.7,Barbour County,AL,429.8 ,145,stable,0.6 ,398.3,463.3,-7.8,9.7
5,Glyphosate,2015,1,5,7487.9,7495.1,Barbour County,AL,429.8 ,145,stable,0.6 ,398.3,463.3,-7.8,9.7
6,Glyphosate,2014,1,7,215.5,215.5,Bibb County,AL,478.3 ,128,stable,-0.9 ,441.2,517.8,-11.6,11.1
7,Glyphosate,2015,1,7,173.3,209.2,Bibb County,AL,478.3 ,128,stable,-0.9 ,441.2,517.8,-11.6,11.1
8,Glyphosate,2014,1,9,6540.7,6652.1,Blount County,AL,440.0 ,317,stable,0.1 ,418.0,462.8,-5.0,5.5
9,Glyphosate,2015,1,9,9810.8,9828.0,Blount County,AL,440.0 ,317,stable,0.1 ,418.0,462.8,-5.0,5.5
10,Glyphosate,2014,1,11,2192.3,2218.5,Bullock County,AL,481.3 ,60,stable,4.3 ,427.3,540.6,-7.7,17.9
11,Glyphosate,2015,1,11,3461.5,3597.7,Bullock County,AL,481.3 ,60,stable,4.3 ,427.3,540.6,-7.7,17.9
12,Glyphosate,2014,1,13,17699.7,17831.0,Butler County,AL,409.0 ,111,stable,1.6 ,374.2,446.3,-8.4,12.9
13,Glyphosate,2015,1,13,3244.0,3280.8,Butler County,AL,409.0 ,111,stable,1.6 ,374.2,446.3,-8.4,12.9
14,Glyphosate,2014,1,15,8654.7,8654.8,Calhoun County,AL,450.9 ,647,stable,-0.2 ,435.1,467.2,-3.3,3.1
15,Glyphosate,2015,1,15,11846.0,11849.0,Calhoun County,AL,450.9 ,647,stable,-0.2 ,435.1,467.2,-3.3,3.1
16,Glyphosate,2014,1,17,427.3,428.2,Chambers County,AL,522.8 ,240,stable,-1.5 ,492.7,554.5,-6.5,3.7
17,Glyphosate,2015,1,17,221.6,362.7,Chambers County,AL,522.8 ,240,stable,-1.5 ,492.7,554.5,-6.5,3.7
18,Glyphosate,2014,1,19,42519.7,42519.8,Cherokee County,AL,423.6 ,162,stable,-8.4 ,393.5,455.7,-17.0,1.1
19,Glyphosate,2015,1,19,52082.7,52084.6,Cherokee County,AL,423.6 ,162,stable,-8.4 ,393.5,455.7,-17.0,1.1
20,Glyphosate,2014,1,21,795.3,819.9,Chilton County,AL,426.6 ,222,stable,-4.3 ,401.3,453.1,-13.4,5.7
21,Glyphosate,2015,1,21,1513.5,1650.6,Chilton County,AL,426.6 ,222,stable,-4.3 ,401.3,453.1,-13.4,5.7
22,Glyphosate,2014,1,23,2720.3,2800.8,Choctaw County,AL,436.2 ,85,stable,1.5 ,393.6,482.7,-8.3,12.3
23,Glyphosate,2015,1,23,2093.3,2127.3,Choctaw County,AL,436.2 ,85,stable,1.5 ,393.6,482.7,-8.3,12.3
24,Glyphosate,2014,1,25,792.8,858.2,Clarke County,AL,472.1 ,155,stable,1.0 ,438.5,507.7,-1.6,3.7
25,Glyphosate,2015,1,25,234.0,252.4,Clarke County,AL,472.1 ,155,stable,1.0 ,438.5,507.7,-1.6,3.7
26,Glyphosate,2014,1,27,115.5,116.2,Clay County,AL,465.4 ,86,stable,1.2 ,421.0,513.6,-7.2,10.4
27,Glyphosate,2015,1,27,26.2,147.8,Clay County,AL,465.4 ,86,stable,1.2 ,421.0,513.6,-7.2,10.4
28,Glyphosate,2014,1,29,776.0,776.1,Cleburne County,AL,460.1 ,91,stable,-1.9 ,417.7,506.0,-12.6,10.1
29,Glyphosate,2015,1,29,1270.8,1270.9,Cleburne County,AL,460.1 ,91,stable,-1.9 ,417.7,506.0,-12.6,10.1
30,Glyphosate,2014,1,31,21831.2,21832.0,Coffee County,AL,412.0 ,254,stable,-1.1 ,389.3,435.8,-8.0,6.4
31,Glyphosate,2015,1,31,18093.0,18134.9,Coffee County,AL,412.0 ,254,stable,-1.1 ,389.3,435.8,-8.0,6.4
32,Glyphosate,2014,1,33,60857.8,60938.2,Colbert County,AL,433.1 ,318,stable,0.6 ,411.4,455.7,-6.0,7.7
33,Glyphosate,2015,1,33,38052.7,38424.6,Colbert County,AL,433.1 ,318,stable,0.6 ,411.4,455.7,-6.0,7.7
34,Glyphosate,2014,1,35,16816.6,16949.8,Conecuh County,AL,452.0 ,81,stable,1.5 ,406.5,501.6,-5.7,9.1
35,Glyphosate,2015,1,35,10145.5,10408.3,Conecuh County,AL,452.0 ,81,stable,1.5 ,406.5,501.6,-5.7,9.1
36,Glyphosate,2014,1,37,34.4,34.4,Coosa County,AL,355.1 ,60,stable,5.6 ,314.3,400.4,-18.5,37.0
37,Glyphosate,2015,1,37,7.8,48.3,Coosa County,AL,355.1 ,60,stable,5.6 ,314.3,400.4,-18.5,37.0
38,Glyphosate,2014,1,39,19149.1,19150.2,Covington County,AL,486.0 ,251,stable,0.4 ,458.4,515.0,-8.7,10.4
39,Glyphosate,2015,1,39,17128.5,17132.4,Covington County,AL,486.0 ,251,stable,0.4 ,458.4,515.0,-8.7,10.4
40,Glyphosate,2014,1,41,2219.3,2220.0,Crenshaw County,AL,469.2 ,86,rising,8.9 ,424.6,517.5,5.5,12.4
41,Glyphosate,2015,1,41,1961.7,1962.6,Crenshaw County,AL,469.2 ,86,rising,8.9 ,424.6,517.5,5.5,12.4
42,Glyphosate,2014,1,43,8084.5,8087.9,Cullman County,AL,444.0 ,463,stable,-0.1 ,425.6,463.0,-4.2,4.1
43,Glyphosate,2015,1,43,14296.6,14335.4,Cullman County,AL,444.0 ,463,stable,-0.1 ,425.6,463.0,-4.2,4.1
44,Glyphosate,2014,1,45,17116.7,17116.7,Dale County,AL,454.2 ,267,stable,3.3 ,429.6,479.8,-10.4,19.1
45,Glyphosate,2015,1,45,12736.0,12743.0,Dale County,AL,454.2 ,267,stable,3.3 ,429.6,479.8,-10.4,19.1
46,Glyphosate,2014,1,47,21884.1,21995.8,Dallas County,AL,510.0 ,258,stable,0.7 ,481.6,539.7,-9.8,12.4
47,Glyphosate,2015,1,47,18974.4,20160.2,Dallas County,AL,510.0 ,258,stable,0.7 ,481.6,539.7,-9.8,12.4
48,Glyphosate,2014,1,49,12201.2,12308.0,DeKalb County,AL,395.5 ,340,stable,0.3 ,376.5,415.2,-4.9,5.9
49,Glyphosate,2015,1,49,35416.4,35441.1,DeKalb County,AL,395.5 ,340,stable,0.3 ,376.5,415.2,-4.9,5.9
50,Glyphosate,2014,1,51,15376.9,15412.9,Elmore County,AL,485.8 ,436,rising,4.3 ,465.1,507.2,2.5,6.1
51,Glyphosate,2015,1,51,9390.0,9646.4,Elmore County,AL,485.8 ,436,rising,4.3 ,465.1,507.2,2.5,6.1
52,Glyphosate,2014,1,53,66557.9,66702.9,Escambia County,AL,440.7 ,210,stable,-0.6 ,414.0,468.8,-3.0,1.9
53,Glyphosate,2015,1,53,43903.3,44566.7,Escambia County,AL,440.7 ,210,stable,-0.6 ,414.0,468.8,-3.0,1.9
54,Glyphosate,2014,1,55,11262.6,11263.9,Etowah County,AL,478.7 ,640,stable,0.8 ,461.9,496.1,-2.7,4.5
55,Glyphosate,2015,1,55,14423.6,14433.2,Etowah County,AL,478.7 ,640,stable,0.8 ,461.9,496.1,-2.7,4.5
56,Glyphosate,2014,1,57,4042.7,4596.1,Fayette County,AL,446.3 ,105,stable,3.9 ,407.5,488.1,-2.7,10.9
57,Glyphosate,2015,1,57,7823.3,7872.4,Fayette County,AL,446.3 ,105,stable,3.9 ,407.5,488.1,-2.7,10.9
58,Glyphosate,2014,1,59,8320.0,8424.9,Franklin County,AL,430.9 ,162,stable,1.1 ,401.3,462.3,-8.4,11.7
59,Glyphosate,2015,1,59,5605.1,6107.7,Franklin County,AL,430.9 ,162,stable,1.1 ,401.3,462.3,-8.4,11.7
60,Glyphosate,2014,1,61,31776.0,31780.0,Geneva County,AL,445.4 ,165,stable,3.0 ,414.6,478.1,-5.0,11.6
61,Glyphosate,2015,1,61,23533.8,23550.0,Geneva County,AL,445.4 ,165,stable,3.0 ,414.6,478.1,-5.0,11.6
62,Glyphosate,2014,1,63,1891.4,1907.4,Greene County,AL,468.2 ,56,stable,-7.9 ,411.5,531.2,-21.8,8.4
63,Glyphosate,2015,1,63,3439.7,3482.0,Greene County,AL,468.2 ,56,stable,-7.9 ,411.5,531.2,-21.8,8.4
64,Glyphosate,2014,1,65,4606.3,4629.0,Hale County,AL,399.7 ,80,stable,-3.4 ,359.8,443.0,-14.8,9.5
65,Glyphosate,2015,1,65,7255.6,7337.6,Hale County,AL,399.7 ,80,stable,-3.4 ,359.8,443.0,-14.8,9.5
66,Glyphosate,2014,1,67,26653.4,26656.8,Henry County,AL,451.1 ,109,stable,-3.1 ,412.4,492.9,-7.2,1.2
67,Glyphosate,2015,1,67,21517.2,21532.1,Henry County,AL,451.1 ,109,stable,-3.1 ,412.4,492.9,-7.2,1.2
68,Glyphosate,2014,1,69,36842.7,36842.9,Houston County,AL,440.7 ,564,stable,1.1 ,424.2,457.7,-2.7,5.1
69,Glyphosate,2015,1,69,28410.3,28419.7,Houston County,AL,440.7 ,564,stable,1.1 ,424.2,457.7,-2.7,5.1
70,Glyphosate,2014,1,71,26977.1,26977.9,Jackson County,AL,457.4 ,324,stable,-1.1 ,434.6,481.1,-11.1,10.1
71,Glyphosate,2015,1,71,71916.5,71945.9,Jackson County,AL,457.4 ,324,stable,-1.1 ,434.6,481.1,-11.1,10.1
72,Glyphosate,2014,1,73,276.2,277.8,Jefferson County,AL,455.5 ,"3,478",stable,-0.2 ,448.6,462.5,-2.0,1.7
73,Glyphosate,2015,1,73,317.7,363.6,Jefferson County,AL,455.5 ,"3,478",stable,-0.2 ,448.6,462.5,-2.0,1.7
74,Glyphosate,2014,1,75,609.5,609.8,Lamar County,AL,487.1 ,100,stable,5.4 ,443.9,533.8,-4.7,16.5
75,Glyphosate,2015,1,75,431.9,491.0,Lamar County,AL,487.1 ,100,stable,5.4 ,443.9,533.8,-4.7,16.5
76,Glyphosate,2014,1,77,75703.3,75816.4,Lauderdale County,AL,423.7 ,524,stable,1.8 ,407.1,440.9,-1.6,5.4
77,Glyphosate,2015,1,77,47409.8,48021.6,Lauderdale County,AL,423.7 ,524,stable,1.8 ,407.1,440.9,-1.6,5.4
78,Glyphosate,2014,1,79,88861.9,89082.7,Lawrence County,AL,470.5 ,203,stable,0.8 ,441.1,501.4,-10.8,13.9
79,Glyphosate,2015,1,79,59525.2,60219.2,Lawrence County,AL,470.5 ,203,stable,0.8 ,441.1,501.4,-10.8,13.9
80,Glyphosate,2014,1,81,847.3,1203.3,Lee County,AL,403.2 ,548,stable,0.0 ,387.9,419.1,-6.4,6.9
81,Glyphosate,2015,1,81,2356.5,2412.2,Lee County,AL,403.2 ,548,stable,0.0 ,387.9,419.1,-6.4,6.9
82,Glyphosate,2014,1,83,121949.8,122052.6,Limestone County,AL,472.1 ,484,stable,0.2 ,453.1,491.7,-4.8,5.4
83,Glyphosate,2015,1,83,90923.4,91500.1,Limestone County,AL,472.1 ,484,stable,0.2 ,453.1,491.7,-4.8,5.4
